Camera,Phase,CALA.RAI
Cam01,FoxY1,0.015625
Cam01,FoxY2,0.02857143
Cam01,FoxY3,0.01612903
Cam02,FoxY1,0.11764706
Cam02,FoxY2,0.25714286
Cam02,FoxY3,0.05263158
Cam02,FoxY4,0.07142857
Cam02,FoxY5,0
Cam03,FoxY1,0.16071429
Cam03,FoxY2,0.2
Cam03,FoxY3,0.35483871
Cam04,FoxY1,0.04651163
Cam04,FoxY2,0.08571429
Cam04,FoxY3,0.41666667
Cam04,FoxY4,0
Cam04,FoxY5,0.06122449
Cam05,FoxY1,0
Cam05,FoxY2,0.14285714
Cam05,FoxY3,0.14516129
Cam06,FoxY1,0.02941176
Cam06,FoxY2,0
Cam06,FoxY3,0.08695652
Cam06,FoxY4,0.02380952
Cam06,FoxY5,0.02040816
Cam07,FoxY1,0.14285714
Cam07,FoxY2,0
Cam07,FoxY3,0
Cam07,FoxY4,0
Cam08,FoxY1,0.05882353
Cam08,FoxY2,0.14285714
Cam08,FoxY3,0.01052632
Cam08,FoxY4,0.04761905
Cam08,FoxY5,0
Cam09,FoxY1,0
Cam09,FoxY2,0.02857143
Cam09,FoxY3,0.02702703
Cam10,FoxY1,0.04
Cam10,FoxY2,0.08571429
Cam10,FoxY3,0.05263158
Cam10,FoxY4,0
Cam10,FoxY5,0
Cam11,FoxY1,0
Cam11,FoxY2,0.05714286
Cam11,FoxY3,0.0483871
Cam12,FoxY1,0
Cam12,FoxY2,0
Cam12,FoxY3,0